"name","licenseId","isOsiApproved","isFsfLibre","reference"
"Creative Commons Attribution 3.0 Unported","CC-BY-3.0","","","https://spdx.org/licenses/CC-BY-3.0.html"
"Creative Commons Attribution 3.0 Austria","CC-BY-3.0-AT","","","https://spdx.org/licenses/CC-BY-3.0-AT.html"
"Creative Commons Attribution 3.0 Australia","CC-BY-3.0-AU","","","https://spdx.org/licenses/CC-BY-3.0-AU.html"
"Creative Commons Attribution 3.0 Germany","CC-BY-3.0-DE","","","https://spdx.org/licenses/CC-BY-3.0-DE.html"
"Creative Commons Attribution 3.0 IGO","CC-BY-3.0-IGO","","","https://spdx.org/licenses/CC-BY-3.0-IGO.html"
"Creative Commons Attribution 3.0 Netherlands","CC-BY-3.0-NL","","","https://spdx.org/licenses/CC-BY-3.0-NL.html"
"Creative Commons Attribution 3.0 United States","CC-BY-3.0-US","","","https://spdx.org/licenses/CC-BY-3.0-US.html"
"Creative Commons Attribution 4.0 International","CC-BY-4.0","","Y","https://spdx.org/licenses/CC-BY-4.0.html"
"Creative Commons Attribution Non Commercial 1.0 Generic","CC-BY-NC-1.0","","","https://spdx.org/licenses/CC-BY-NC-1.0.html"
"Creative Commons Attribution Non Commercial 2.0 Generic","CC-BY-NC-2.0","","","https://spdx.org/licenses/CC-BY-NC-2.0.html"
"Creative Commons Attribution Non Commercial 2.5 Generic","CC-BY-NC-2.5","","","https://spdx.org/licenses/CC-BY-NC-2.5.html"
"Creative Commons Attribution Non Commercial 3.0 Unported","CC-BY-NC-3.0","","","https://spdx.org/licenses/CC-BY-NC-3.0.html"
"Creative Commons Attribution Non Commercial 3.0 Germany","CC-BY-NC-3.0-DE","","","https://spdx.org/licenses/CC-BY-NC-3.0-DE.html"
"Creative Commons Attribution Non Commercial 4.0 International","CC-BY-NC-4.0","","","https://spdx.org/licenses/CC-BY-NC-4.0.html"
"Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic","CC-BY-NC-ND-1.0","","","https://spdx.org/licenses/CC-BY-NC-ND-1.0.html"
"Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic","CC-BY-NC-ND-2.0","","","https://spdx.org/licenses/CC-BY-NC-ND-2.0.html"
"Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic","CC-BY-NC-ND-2.5","","","https://spdx.org/licenses/CC-BY-NC-ND-2.5.html"
"Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported","CC-BY-NC-ND-3.0","","","https://spdx.org/licenses/CC-BY-NC-ND-3.0.html"
"Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany","CC-BY-NC-ND-3.0-DE","","","https://spdx.org/licenses/CC-BY-NC-ND-3.0-DE.html"
"Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO","CC-BY-NC-ND-3.0-IGO","","","https://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.html"
"Creative Commons Attribution Non Commercial No Derivatives 4.0 International","CC-BY-NC-ND-4.0","","","https://spdx.org/licenses/CC-BY-NC-ND-4.0.html"
"Creative Commons Attribution Non Commercial Share Alike 1.0 Generic","CC-BY-NC-SA-1.0","","","https://spdx.org/licenses/CC-BY-NC-SA-1.0.html"
"Creative Commons Attribution Non Commercial Share Alike 2.0 Generic","CC-BY-NC-SA-2.0","","","https://spdx.org/licenses/CC-BY-NC-SA-2.0.html"
"Creative Commons Attribution Non Commercial Share Alike 2.0 Germany","CC-BY-NC-SA-2.0-DE","","","https://spdx.org/licenses/CC-BY-NC-SA-2.0-DE.html"
"Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France","CC-BY-NC-SA-2.0-FR","","","https://spdx.org/licenses/CC-BY-NC-SA-2.0-FR.html"
"Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales","CC-BY-NC-SA-2.0-UK","","","https://spdx.org/licenses/CC-BY-NC-SA-2.0-UK.html"
"Creative Commons Attribution Non Commercial Share Alike 2.5 Generic","CC-BY-NC-SA-2.5","","","https://spdx.org/licenses/CC-BY-NC-SA-2.5.html"
"Creative Commons Attribution Non Commercial Share Alike 3.0 Unported","CC-BY-NC-SA-3.0","","","https://spdx.org/licenses/CC-BY-NC-SA-3.0.html"
"Creative Commons Attribution Non Commercial Share Alike 3.0 Germany","CC-BY-NC-SA-3.0-DE","","","https://spdx.org/licenses/CC-BY-NC-SA-3.0-DE.html"
"Creative Commons Attribution Non Commercial Share Alike 3.0 IGO","CC-BY-NC-SA-3.0-IGO","","","https://spdx.org/licenses/CC-BY-NC-SA-3.0-IGO.html"
"Creative Commons Attribution Non Commercial Share Alike 4.0 International","CC-BY-NC-SA-4.0","","","https://spdx.org/licenses/CC-BY-NC-SA-4.0.html"
"Creative Commons Attribution No Derivatives 1.0 Generic","CC-BY-ND-1.0","","","https://spdx.org/licenses/CC-BY-ND-1.0.html"
"Creative Commons Attribution No Derivatives 2.0 Generic","CC-BY-ND-2.0","","","https://spdx.org/licenses/CC-BY-ND-2.0.html"
"Creative Commons Attribution No Derivatives 2.5 Generic","CC-BY-ND-2.5","","","https://spdx.org/licenses/CC-BY-ND-2.5.html"
"Creative Commons Attribution No Derivatives 3.0 Unported","CC-BY-ND-3.0","","","https://spdx.org/licenses/CC-BY-ND-3.0.html"
"Creative Commons Attribution No Derivatives 3.0 Germany","CC-BY-ND-3.0-DE","","","https://spdx.org/licenses/CC-BY-ND-3.0-DE.html"
"Creative Commons Attribution No Derivatives 4.0 International","CC-BY-ND-4.0","","","https://spdx.org/licenses/CC-BY-ND-4.0.html"
"Creative Commons Attribution Share Alike 1.0 Generic","CC-BY-SA-1.0","","","https://spdx.org/licenses/CC-BY-SA-1.0.html"
"Creative Commons Attribution Share Alike 2.0 Generic","CC-BY-SA-2.0","","","https://spdx.org/licenses/CC-BY-SA-2.0.html"
"Creative Commons Attribution Share Alike 2.0 England and Wales","CC-BY-SA-2.0-UK","","","https://spdx.org/licenses/CC-BY-SA-2.0-UK.html"
"Creative Commons Attribution Share Alike 2.1 Japan","CC-BY-SA-2.1-JP","","","https://spdx.org/licenses/CC-BY-SA-2.1-JP.html"
"Creative Commons Attribution Share Alike 2.5 Generic","CC-BY-SA-2.5","","","https://spdx.org/licenses/CC-BY-SA-2.5.html"
"Creative Commons Attribution Share Alike 3.0 Unported","CC-BY-SA-3.0","","","https://spdx.org/licenses/CC-BY-SA-3.0.html"
"Creative Commons Attribution Share Alike 3.0 Austria","CC-BY-SA-3.0-AT","","","https://spdx.org/licenses/CC-BY-SA-3.0-AT.html"
"Creative Commons Attribution Share Alike 3.0 Germany","CC-BY-SA-3.0-DE","","","https://spdx.org/licenses/CC-BY-SA-3.0-DE.html"
"Creative Commons Attribution-ShareAlike 3.0 IGO","CC-BY-SA-3.0-IGO","","","https://spdx.org/licenses/CC-BY-SA-3.0-IGO.html"
"Creative Commons Attribution Share Alike 4.0 International","CC-BY-SA-4.0","","Y","https://spdx.org/licenses/CC-BY-SA-4.0.html"
"Creative Commons Public Domain Dedication and Certification","CC-PDDC","","","https://spdx.org/licenses/CC-PDDC.html"
"Creative    Commons Public Domain Mark 1.0 Universal","CC-PDM-1.0","","","https://spdx.org/licenses/CC-PDM-1.0.html"
"Creative Commons Share Alike 1.0 Generic","CC-SA-1.0","","","https://spdx.org/licenses/CC-SA-1.0.html"
"Creative Commons Zero v1.0 Universal","CC0-1.0","","Y","https://spdx.org/licenses/CC0-1.0.html"
"Common Development and Distribution License 1.0","CDDL-1.0","Y","Y","https://spdx.org/licenses/CDDL-1.0.html"
"Common Development and Distribution License 1.1","CDDL-1.1","","","https://spdx.org/licenses/CDDL-1.1.html"
"Common Documentation License 1.0","CDL-1.0","","","https://spdx.org/licenses/CDL-1.0.html"
"Community Data License Agreement Permissive 1.0","CDLA-Permissive-1.0","","","https://spdx.org/licenses/CDLA-Permissive-1.0.html"
"Community Data License Agreement Permissive 2.0","CDLA-Permissive-2.0","","","https://spdx.org/licenses/CDLA-Permissive-2.0.html"
"Community Data License Agreement Sharing 1.0","CDLA-Sharing-1.0","","","https://spdx.org/licenses/CDLA-Sharing-1.0.html"
"CeCILL Free Software License Agreement v1.0","CECILL-1.0","","","https://spdx.org/licenses/CECILL-1.0.html"
"CeCILL Free Software License Agreement v1.1","CECILL-1.1","","","https://spdx.org/licenses/CECILL-1.1.html"
"CeCILL Free Software License Agreement v2.0","CECILL-2.0","","Y","https://spdx.org/licenses/CECILL-2.0.html"
"CeCILL Free Software License Agreement v2.1","CECILL-2.1","Y","","https://spdx.org/licenses/CECILL-2.1.html"
"CeCILL-B Free Software License Agreement","CECILL-B","","Y","https://spdx.org/licenses/CECILL-B.html"
"CeCILL-C Free Software License Agreement","CECILL-C","","Y","https://spdx.org/licenses/CECILL-C.html"
"CERN Open Hardware Licence v1.1","CERN-OHL-1.1","","","https://spdx.org/licenses/CERN-OHL-1.1.html"
"CERN Open Hardware Licence v1.2","CERN-OHL-1.2","","","https://spdx.org/licenses/CERN-OHL-1.2.html"
"CERN Open Hardware Licence Version 2 - Permissive","CERN-OHL-P-2.0","Y","","https://spdx.org/licenses/CERN-OHL-P-2.0.html"
"CERN Open Hardware Licence Version 2 - Strongly Reciprocal","CERN-OHL-S-2.0","Y","","https://spdx.org/licenses/CERN-OHL-S-2.0.html"
"CERN Open Hardware Licence Version 2 - Weakly Reciprocal","CERN-OHL-W-2.0","Y","","https://spdx.org/licenses/CERN-OHL-W-2.0.html"
"CFITSIO License","CFITSIO","","","https://spdx.org/licenses/CFITSIO.html"
"check-cvs License","check-cvs","","","https://spdx.org/licenses/check-cvs.html"
"Checkmk License","checkmk","","","https://spdx.org/licenses/checkmk.html"
"Clarified Artistic License","ClArtistic","","Y","https://spdx.org/licenses/ClArtistic.html"
"Clips License","Clips","","","https://spdx.org/licenses/Clips.html"
"CMU Mach License","CMU-Mach","","","https://spdx.org/licenses/CMU-Mach.html"
"CMU    Mach - no notices-in-documentation variant","CMU-Mach-nodoc","","","https://spdx.org/licenses/CMU-Mach-nodoc.html"
"CNRI Jython License","CNRI-Jython","","","https://spdx.org/licenses/CNRI-Jython.html"
"CNRI Python License","CNRI-Python","Y","","https://spdx.org/licenses/CNRI-Python.html"
"CNRI Python Open Source GPL Compatible License Agreement","CNRI-Python-GPL-Compatible","","","https://spdx.org/licenses/CNRI-Python-GPL-Compatible.html"
"Copyfree Open Innovation License","COIL-1.0","","","https://spdx.org/licenses/COIL-1.0.html"
"Community Specification License 1.0","Community-Spec-1.0","","","https://spdx.org/licenses/Community-Spec-1.0.html"
"Condor Public License v1.1","Condor-1.1","","Y","https://spdx.org/licenses/Condor-1.1.html"
"copyleft-next 0.3.0","copyleft-next-0.3.0","","","https://spdx.org/licenses/copyleft-next-0.3.0.html"
"copyleft-next 0.3.1","copyleft-next-0.3.1","","","https://spdx.org/licenses/copyleft-next-0.3.1.html"
"Cornell Lossless JPEG License","Cornell-Lossless-JPEG","","","https://spdx.org/licenses/Cornell-Lossless-JPEG.html"
"Common Public Attribution License 1.0","CPAL-1.0","Y","Y","https://spdx.org/licenses/CPAL-1.0.html"
"Common Public License 1.0","CPL-1.0","Y","Y","https://spdx.org/licenses/CPL-1.0.html"
"Code Project Open License 1.02","CPOL-1.02","","","https://spdx.org/licenses/CPOL-1.02.html"
"Cronyx License","Cronyx","","","https://spdx.org/licenses/Cronyx.html"
"Crossword License","Crossword","","","https://spdx.org/licenses/Crossword.html"
"CryptoSwift License","CryptoSwift","","","https://spdx.org/licenses/CryptoSwift.html"
"CrystalStacker License","CrystalStacker","","","https://spdx.org/licenses/CrystalStacker.html"
"CUA Office Public License v1.0","CUA-OPL-1.0","Y","","https://spdx.org/licenses/CUA-OPL-1.0.html"
"Cube License","Cube","","","https://spdx.org/licenses/Cube.html"
"curl License","curl","","","https://spdx.org/licenses/curl.html"
"Common Vulnerability Enumeration ToU License","cve-tou","","","https://spdx.org/licenses/cve-tou.html"
"Deutsche Freie Software Lizenz","D-FSL-1.0","","","https://spdx.org/licenses/D-FSL-1.0.html"
"DEC 3-Clause License","DEC-3-Clause","","","https://spdx.org/licenses/DEC-3-Clause.html"
"diffmark license","diffmark","","","https://spdx.org/licenses/diffmark.html"
"Data licence Germany – attribution – version 2.0","DL-DE-BY-2.0","","","https://spdx.org/licenses/DL-DE-BY-2.0.html"
"Data licence Germany – zero – version 2.0","DL-DE-ZERO-2.0","","","https://spdx.org/licenses/DL-DE-ZERO-2.0.html"
"DOC License","DOC","","","https://spdx.org/licenses/DOC.html"
"DocBook DTD License","DocBook-DTD","","","https://spdx.org/licenses/DocBook-DTD.html"
"DocBook Schema License","DocBook-Schema","","","https://spdx.org/licenses/DocBook-Schema.html"
"DocBook Stylesheet License","DocBook-Stylesheet","","","https://spdx.org/licenses/DocBook-Stylesheet.html"
"DocBook XML License","DocBook-XML","","","https://spdx.org/licenses/DocBook-XML.html"
"Dotseqn License","Dotseqn","","","https://spdx.org/licenses/Dotseqn.html"
"Detection Rule License 1.0","DRL-1.0","","","https://spdx.org/licenses/DRL-1.0.html"
"Detection Rule License 1.1","DRL-1.1","","","https://spdx.org/licenses/DRL-1.1.html"
"DSDP License","DSDP","","","https://spdx.org/licenses/DSDP.html"
"David M. Gay dtoa License","dtoa","","","https://spdx.org/licenses/dtoa.html"
"dvipdfm License","dvipdfm","","","https://spdx.org/licenses/dvipdfm.html"
"Educational Community License v1.0","ECL-1.0","Y","","https://spdx.org/licenses/ECL-1.0.html"
"Educational Community License v2.0","ECL-2.0","Y","Y","https://spdx.org/licenses/ECL-2.0.html"
"eCos license version 2.0","eCos-2.0","","Y","https://spdx.org/licenses/eCos-2.0.html"
"Eiffel Forum License v1.0","EFL-1.0","Y","","https://spdx.org/licenses/EFL-1.0.html"
"Eiffel Forum License v2.0","EFL-2.0","Y","Y","https://spdx.org/licenses/EFL-2.0.html"
"eGenix.com Public License 1.1.0","eGenix","","","https://spdx.org/licenses/eGenix.html"
"Elastic License 2.0","Elastic-2.0","","","https://spdx.org/licenses/Elastic-2.0.html"
"Entessa Public License v1.0","Entessa","Y","","https://spdx.org/licenses/Entessa.html"
"EPICS Open License","EPICS","","","https://spdx.org/licenses/EPICS.html"
